2021/06/08 06:26:35 [error] 7#7: *2 open() "/usr/share/nginx/html/payed/notify" failed (2: No such file or directory), client: 172.100.0.1, server: localhost, request: "GET /payed/notify HTTP/1.1", host: "2e0l193356.iask.in"
2021/06/08 06:28:15 [error] 7#7: *1 open() "/usr/share/nginx/html/payed/notify" failed (2: No such file or directory), client: 172.100.0.1, server: localhost, request: "GET /payed/notify HTTP/1.1", host: "2e0l193356.iask.in"
2021/06/08 06:29:03 [error] 7#7: *7 open() "/usr/share/nginx/html/static/index/img/top_find_logo.png" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/index/img/top_find_logo.png HTTP/1.1", host: "phonemall.com", referrer: "http://phonemall.com/"
2021/06/08 06:29:42 [error] 7#7: *7 open() "/usr/share/nginx/html/static/index/img/top_find_logo.png" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/index/img/top_find_logo.png HTTP/1.1", host: "phonemall.com", referrer: "http://phonemall.com/"
2021/06/08 06:30:21 [error] 7#7: *7 open() "/usr/share/nginx/html/static/index/img/top_find_logo.png" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/index/img/top_find_logo.png HTTP/1.1", host: "phonemall.com", referrer: "http://phonemall.com/"
2021/06/08 06:31:22 [error] 7#7: *1 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.100.0.1, server: phonemall.com, request: "GET /payed/notify HTTP/1.1", upstream: "http://192.168.65.2:88/payed/notify", host: "2e0l193356.iask.in"
2021/06/08 06:31:22 [error] 7#7: *1 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /payed/notify HTTP/1.1", upstream: "http://192.168.65.2:88/payed/notify", host: "2e0l193356.iask.in"
2021/06/08 06:32:25 [error] 7#7: *36 open() "/usr/share/nginx/html/static/index/img/top_find_logo.png" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/index/img/top_find_logo.png HTTP/1.1", host: "phonemall.com", referrer: "http://phonemall.com/"
2021/06/08 06:32:34 [error] 7#7: *36 open() "/usr/share/nginx/html/static/index/img/top_find_logo.png" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/index/img/top_find_logo.png HTTP/1.1", host: "phonemall.com", referrer: "http://phonemall.com/"
2021/06/08 06:32:34 [error] 7#7: *38 open() "/usr/share/nginx/html/static/index/img/top_find_logo.png" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/index/img/top_find_logo.png HTTP/1.1", host: "phonemall.com", referrer: "http://phonemall.com/"
2021/06/08 06:36:44 [error] 7#7: *57 open() "/usr/share/nginx/html/static/search/img/5919637an271a1301.jpg" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/search/img/5919637an271a1301.jpg HTTP/1.1", host: "search.phonemall.com", referrer: "http://search.phonemall.com/list.html?catalog3Id=225"
2021/06/08 06:36:47 [error] 7#7: *65 open() "/usr/share/nginx/html/static/item/scss/jd.css" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/item/scss/jd.css HTTP/1.1", host: "item.phonemall.com", referrer: "http://item.phonemall.com/1.html"
